id,name,country,group,national_group
197490,Magdalena ADAMOWICZ,Poland,Group of the European People's Party (Christian Democrats),Independent
189525,Asim ADEMOV,Bulgaria,Group of the European People's Party (Christian Democrats),Citizens for European Development of Bulgaria
124831,Isabella ADINOLFI,Italy,Group of the European People's Party (Christian Democrats),Forza Italia
197826,Matteo ADINOLFI,Italy,Identity and Democracy Group,Lega
197403,Alex AGIUS SALIBA,Malta,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partit Laburista
198096,Mazaly AGUILAR,Spain,European Conservatives and Reformists Group,VOX
125045,Clara AGUILERA,Spain,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partido Socialista Obrero Español
204335,Alviina ALAMETSÄ,Finland,Group of the Greens/European Free Alliance,Vihreä liitto
197836,Alexander ALEXANDROV YORDANOV,Bulgaria,Group of the European People's Party (Christian Democrats),Union of Democratic Forces
96750,François ALFONSI,France,Group of the Greens/European Free Alliance,Régions et Peuples Solidaires
197848,Atidzhe ALIEVA-VELI,Bulgaria,Renew Europe Group,Movement for Rights and Freedoms
197400,Abir AL-SAHLANI,Sweden,Renew Europe Group,Centerpartiet
197746,Álvaro AMARO,Portugal,Group of the European People's Party (Christian Democrats),Partido Social Democrata
197783,Andris AMERIKS,Latvia,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Gods kalpot Rīgai
197475,Christine ANDERSON,Germany,Identity and Democracy Group,Alternative für Deutschland
197448,Rasmus ANDRESEN,Germany,Group of the Greens/European Free Alliance,Bündnis 90/Die Grünen
204332,Barry ANDREWS,Ireland,Renew Europe Group,Fianna Fáil Party
113892,Eric ANDRIEU,France,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti socialiste
197691,Mathilde ANDROUËT,France,Identity and Democracy Group,Rassemblement national
125110,Nikos ANDROULAKIS,Greece,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,PASOK-KINAL
202073,Marc ANGEL,Luxembourg,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti ouvrier socialiste luxembourgeois
124973,Gerolf ANNEMANS,Belgium,Identity and Democracy Group,Vlaams Belang
124696,Andrus ANSIP,Estonia,Renew Europe Group,Eesti Reformierakond
197587,Attila ARA-KOVÁCS,Hungary,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Demokratikus Koalíció
124936,Maria ARENA,Belgium,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Parti Socialiste
96808,Pablo ARIAS ECHEVERRÍA,Spain,Group of the European People's Party (Christian Democrats),Partido Popular
24922,Pascal ARIMONT,Belgium,Group of the European People's Party (Christian Democrats),Christlich Soziale Partei
197492,Bartosz ARŁUKOWICZ,Poland,Group of the European People's Party (Christian Democrats),Platforma Obywatelska
197701,Konstantinos ARVANITIS,Greece,The Left group in the European Parliament - GUE/NGL,Coalition of the Radical Left
197695,Anna-Michelle ASIMAKOPOULOU,Greece,Group of the European People's Party (Christian Democrats),Nea Demokratia
197533,Manon AUBRY,France,The Left group in the European Parliament - GUE/NGL,La France Insoumise
28161,Margrete AUKEN,Denmark,Group of the Greens/European Free Alliance,Socialistisk Folkeparti
124766,Petras AUŠTREVIČIUS,Lithuania,Renew Europe Group,Lietuvos Respublikos liberalų sąjūdis
197651,Carmen AVRAM,Romania,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Partidul Social Democrat
197781,Malik AZMANI,Netherlands,Renew Europe Group,Volkspartij voor Vrijheid en Democratie
197789,Simona BALDASSARRE,Italy,Identity and Democracy Group,Lega
197495,Marek Paweł BALT,Poland,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sojusz Lewicy Demokratycznej
131580,Jordan BARDELLA,France,Identity and Democracy Group,Rassemblement national
197433,Katarina BARLEY,Germany,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,Sozialdemokratische Partei Deutschlands
197684,Pernando BARRENA ARZA,Spain,The Left group in the European Parliament - GUE/NGL,EH BILDU
